 COUNTRY	POPULATION
 China†[b]	1,411,778,724
 India†[c]	1,378,009,414
 United States[d]	331,820,115
 Indonesia†	271,350,000
 Pakistan†[e]	225,200,000
 Brazil†	213,251,955
 Nigeria†	211,401,000
 Bangladesh†	170,813,604
 Russia†[f]	146,171,015
 Mexico†	126,014,024
 Japan†	125,360,000
 Ethiopia†	117,876,000
 Philippines†	110,337,902
 Egypt†	101,903,694
 Vietnam†	97,580,000
 DR Congo†	92,378,000
 Iran†	84,515,102
 Turkey†	83,614,362
 Germany†	83,190,556
 France†[g]	67,413,000
 United Kingdom†[h]	67,113,000
 Thailand†	66,656,780
 South Africa†	59,622,350
 Tanzania†[i]	59,441,988
 Italy†	59,204,919
 Myanmar†	55,294,979
 South Korea†	51,683,025
 Colombia†	51,049,498
 Kenya†	47,564,296
 Spain†	47,351,567
 Argentina†	45,808,747
 Algeria†	44,700,000
 Sudan†	43,536,730
 Uganda†	42,885,900
 Ukraine†[j]	41,487,960
 Iraq†	41,190,700
 Canada†	38,293,251
 Poland†	38,208,000
 Morocco†[k]	36,275,209
 Uzbekistan†	34,910,588
 Saudi Arabia†	34,218,169
 Peru†	33,035,304
 Afghanistan†	32,890,171
 Malaysia†	32,774,850
 Angola†	32,097,671
 Ghana†	30,955,202
 Mozambique†	30,832,244
 Yemen†	30,491,000
 Nepal†	30,378,055
 Venezuela†	28,705,000
 Ivory Coast†	27,087,732
 Madagascar†	26,923,353
 Australia†	25,811,684
 North Korea†	25,660,000
 Cameroon†	24,348,251
 Niger†	24,112,753
 Taiwan†[l]	23,514,196
 Sri Lanka†	21,919,000
 Burkina Faso†	21,510,181
 Mali†	20,856,000
 Chile†	19,678,363
 Romania†	19,317,984
 Kazakhstan†	18,941,816
 Malawi†	18,898,441
 Zambia†	18,400,556
 Syria†	18,276,000
 Ecuador†	17,750,108
 Netherlands†[m]	17,602,931
 Senegal†	17,223,497
 Guatemala†	17,109,746
 Chad†	16,818,391
 Somalia†[n]	16,360,000
 Zimbabwe†	15,790,716
 Cambodia†	15,552,211
 South Sudan†	13,249,924
 Rwanda†	12,955,768
 Guinea†	12,907,395
 Burundi†	12,574,571
 Benin†	12,506,347
 Bolivia†	11,797,257
 Tunisia†	11,746,695
 Haiti†	11,743,017
 Belgium†	11,565,582
 Cuba†	11,193,470
 Jordan†	10,963,612
 Greece†	10,718,565
 Czech Republic†	10,701,777
 Dominican Republic†	10,535,535
 Sweden†	10,395,160
 Portugal†	10,295,909
 Azerbaijan†	10,130,100
 Hungary†	9,730,000
 Tajikistan†	9,504,000
